parcel_number,account_id,owner,situs_address,taxes_due,interest_due,penalty_due,total_due,assessed_value,tax_rate,status
APC-344,0512940,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #344,"1,078.96",23.93,26.97,"1,129.86","192,260",0.0056120000,OK
APC-345,0512957,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #345,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-346,0512964,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #346,"1,078.96",23.93,26.97,"1,129.86","192,260",0.0056120000,OK
APC-347,0512971,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #347,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-348,0512988,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #348,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-349,0512995,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #349,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-350,0513006,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #350,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-351,0513013,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #351,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-352,0513020,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #352,"1,177.33",26.12,29.43,"1,232.88","209,788",0.0056120000,OK
APC-353,0513037,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #353,"1,386.36",30.75,34.66,"1,451.77","247,035",0.0056120000,OK
APC-354,0513044,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #354,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-356,0513068,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #356,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-324,0512832,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LOOP #324,"1,677.58",37.21,41.94,"1,756.73","298,928",0.0056120000,OK
APC-355,0513051,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LOOP #355,"1,177.33",26.12,29.43,"1,232.88","209,788",0.0056120000,OK
APC-D-1,0511860,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #D-1,"1,063.19",23.59,26.58,"1,113.36","189,449",0.0056120000,OK
APC-H-1,0511853,BEEHIVE HOSPITALITY ASCENT PC LLC,4080 N COOPER LN #H-1,"17,149.01",380.36,428.73,"17,958.10","407,387",0.0056120000,OK
